player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Derrick Williams/2015-16,17.9,5.3,1.1,3.8,0.453,0.55,1.2,7.4,8.9,1.0,0.5,0.265,1.2,-2.4,1.17573170732,1.0487804878,0
Mike Muscala/2016-17,17.7,3.6,1.3,3.2,0.19,0.596,2.2,7.0,11.9,1.2,2.8,0.326,1.6,1.5,1.17728395062,3.38271604938,0
Trey Lyles/2015-16,17.3,3.7,1.3,3.3,0.188,0.517,1.5,7.8,7.1,1.0,1.1,0.294,1.7,-0.4,1.18036585366,2.81707317073,0
PJ Hairston/2015-16,19.9,2.1,1.9,6.6,0.157,0.47,0.7,4.8,4.4,1.2,0.7,0.591,1.1,-1.5,1.18088607595,1.20253164557,15
Ersan Ilyasova/2014-15,22.7,5.2,2.0,5.2,0.192,0.554,2.2,7.6,7.4,1.4,1.2,0.341,1.7,-1.4,1.18130952381,3.2619047619,15
Timothe LuwawuCabarrot/2016-17,17.2,2.9,1.5,4.9,0.341,0.536,0.8,4.5,9.6,1.3,0.7,0.446,0.8,-1.2,1.18197530864,1.43209876543,12
Jaylen Brown/2016-17,17.2,3.9,1.2,3.6,0.293,0.539,1.2,5.9,7.2,1.3,1.1,0.319,1.3,-0.9,1.1821875,1.17708333333,0
Kris Dunn/2016-17,17.1,2.6,0.6,2.0,0.188,0.432,0.6,4.5,19.4,3.0,2.3,0.233,1.3,1.5,1.18289156627,1.43373493976,7
Dwyane Wade/2015-16,30.5,8.5,0.1,0.7,0.343,0.517,1.3,4.8,27.4,1.8,1.4,0.037,2.6,-0.1,1.18555555556,1.01307189542,1
Gerald Green/2015-16,22.6,3.4,1.9,6.0,0.157,0.491,0.6,3.8,5.6,1.3,0.9,0.443,1.4,-1.8,1.18683673469,1.11224489796,10
Terrence Jones/2016-17,23.5,6.0,0.5,2.1,0.346,0.516,1.8,8.7,7.3,1.5,3.5,0.153,1.9,1.3,1.18771428571,3.32857142857,2
Zach Randolph/2015-16,29.6,7.6,0.1,0.5,0.238,0.519,3.2,9.4,12.9,1.1,0.6,0.029,1.5,-1.1,1.19181034483,3.51724137931,17
Trey Burke/2015-16,21.3,4.6,2.3,6.7,0.129,0.507,0.5,3.0,19.7,1.4,0.4,0.404,1.2,-2.5,1.19268292683,0.829268292683,7
Jared Dudley/2016-17,21.3,2.1,2.0,5.4,0.188,0.579,0.8,5.9,12.5,1.5,0.9,0.587,0.7,-0.1,1.19358974359,2.55128205128,15
Donald Sloan/2015-16,21.6,3.2,1.0,2.7,0.297,0.536,0.5,4.7,30.0,1.2,0.2,0.283,0.3,-2.1,1.19419753086,0.901234567901,18
Jason Terry/2016-17,18.4,0.8,1.9,4.5,0.119,0.6,0.4,2.8,9.9,1.7,1.3,0.704,0.9,-0.6,1.19529411765,0.882352941176,12
James Johnson/2014-15,19.6,6.0,0.3,1.3,0.252,0.617,1.6,6.8,11.4,2.0,4.1,0.126,1.6,2.0,1.19556962025,2.29113924051,0
Henry Sims/2014-15,19.2,6.0,0.1,0.6,0.273,0.521,3.1,9.2,10.7,1.4,1.7,0.044,1.5,-0.1,1.1962195122,3.5487804878,8
Roy Hibbert/2015-16,23.2,3.5,0.0,0.0,0.353,0.507,2.5,7.6,8.0,0.9,4.6,0.005,1.0,1.9,1.19704761905,4.4,2
Rodney Stuckey/2015-16,22.0,4.6,0.6,2.3,0.357,0.504,0.5,4.4,17.2,1.7,0.5,0.187,1.5,-0.3,1.19727272727,0.961038961039,3
Kosta Koufos/2016-17,20.0,5.5,0.0,0.0,0.158,0.56,3.0,10.2,5.3,1.3,3.1,0.003,1.4,0.7,1.19962962963,3.0,8
CJ McCollum/2014-15,15.7,3.8,2.0,5.1,0.2,0.534,0.5,3.4,10.3,2.3,0.6,0.381,1.1,-0.3,1.2004109589,0.972602739726,12
Andre Roberson/2014-15,19.2,2.0,0.6,2.4,0.239,0.513,1.7,7.1,7.4,2.1,1.8,0.423,1.6,2.1,1.20097560976,1.46341463415,0
Zaza Pachulia/2016-17,18.1,4.7,0.0,0.1,0.41,0.588,4.0,11.6,13.6,2.2,2.0,0.007,2.5,3.0,1.20130952381,4.88095238095,13
JJ Hickson/2014-15,19.3,5.6,0.0,0.1,0.438,0.504,3.8,11.5,6.5,1.3,1.9,0.004,1.4,0.4,1.20296296296,3.92592592593,8
Shaun Livingston/2016-17,17.7,4.6,0.0,0.1,0.19,0.568,0.7,4.0,13.5,1.4,1.2,0.009,1.6,0.5,1.20304347826,1.04347826087,0
CJ Miles/2015-16,22.9,2.9,3.5,9.5,0.196,0.547,0.6,4.3,7.0,1.8,1.6,0.61,1.9,-1.2,1.20344827586,1.75862068966,10
Willie CauleyStein/2016-17,18.9,6.5,0.0,0.1,0.314,0.558,2.2,8.6,9.4,1.9,2.9,0.004,1.5,0.9,1.20567901235,2.67901234568,8
Gary Neal/2014-15,22.1,4.2,1.5,4.9,0.268,0.483,0.4,3.9,14.5,1.0,0.1,0.326,0.8,-2.6,1.20865671642,0.940298507463,3
Sam Dekker/2016-17,18.4,3.6,1.5,4.7,0.159,0.549,2.4,7.2,7.7,1.3,1.2,0.436,1.2,-0.6,1.20988505747,2.35632183908,0
Kris Humphries/2014-15,21.0,5.6,0.0,0.2,0.262,0.512,3.2,11.1,6.7,1.3,1.5,0.016,2.1,0.7,1.21064935065,2.92207792208,2
JJ Barea/2015-16,22.5,4.7,2.2,5.6,0.135,0.536,0.6,3.3,31.5,0.8,0.1,0.366,0.7,-2.8,1.21205882353,0.509803921569,18
Brandan Wright/2014-15,19.3,5.8,0.0,0.1,0.309,0.66,3.2,8.0,4.4,1.7,5.1,0.008,1.8,2.4,1.21307692308,5.0,8
Derrick Williams/2014-15,19.8,4.1,1.2,3.8,0.404,0.54,1.0,5.0,5.6,1.2,0.2,0.322,0.4,-2.7,1.21731707317,1.25609756098,15
Josh Richardson/2015-16,21.3,2.3,1.7,3.7,0.232,0.569,0.7,3.5,9.7,1.7,1.7,0.423,1.2,0.4,1.2208045977,1.45977011494,15
