Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
173,Brian Roberts\roberbr01,2013-14,28,NOP,NBA,72,23.2,.529,42,1667,5.3,12.5,3.9,8.7,1.4,3.8,2.7,2.9,0.4,2.6,2.9,5.1,0.9,0.2,2.1,2.9,14.6,.420,.447,.360,.475,.940
174,Miles Plumlee\plumlmi01,2013-14,25,PHO,NBA,80,24.6,.529,79,1964,5.2,10.1,5.2,10.1,0.0,0.0,1.4,2.4,3.6,7.8,11.5,0.8,0.9,1.6,2.0,3.4,11.8,.517,.517,,.517,.561
175,Omri Casspi\casspom01,2013-14,25,HOU,NBA,71,18.1,.528,2,1283,4.9,11.5,3.1,6.6,1.7,4.9,2.3,3.4,1.5,5.8,7.3,2.5,1.2,0.4,2.0,2.8,13.7,.422,.479,.347,.496,.680
176,Tristan Thompson\thomptr01,2013-14,22,CLE,NBA,82,31.6,.528,82,2594,5.0,10.6,5.0,10.5,0.0,0.0,3.3,4.7,3.7,6.7,10.5,1.0,0.6,0.5,1.5,2.6,13.3,.477,.478,.000,.477,.693
177,J.R. Smith\smithjr01,2013-14,28,NYK,NBA,74,32.7,.527,37,2421,5.9,14.2,3.1,7.1,2.8,7.1,1.3,2.1,0.5,3.9,4.4,3.3,1.0,0.3,1.6,2.9,15.9,.415,.436,.394,.514,.652
178,Reggie Jackson\jacksre01,2013-14,23,OKC,NBA,80,28.5,.527,36,2277,6.4,14.5,5.1,10.6,1.3,3.9,2.5,2.8,0.7,4.3,4.9,5.2,1.3,0.1,2.7,2.2,16.6,.440,.477,.339,.485,.893
179,Anderson Varejao\varejan01,2013-14,31,CLE,NBA,65,27.7,.527,29,1800,4.5,9.2,4.5,9.0,0.0,0.1,1.8,2.7,3.7,8.8,12.6,2.8,1.4,0.8,1.4,3.3,10.9,.495,.502,.000,.495,.681
180,Kyle O'Quinn\oquinky01,2013-14,23,ORL,NBA,69,17.2,.526,19,1188,5.6,11.2,5.6,11.2,0.0,0.1,1.7,2.5,3.0,8.0,11.0,2.4,1.2,2.7,2.4,5.0,13.0,.501,.505,.000,.501,.687
181,Marc Gasol\gasolma01,2013-14,29,MEM,NBA,59,33.4,.526,59,1970,6.1,13.0,6.1,12.8,0.0,0.2,3.4,4.4,1.5,6.2,7.7,3.9,1.1,1.4,2.0,2.7,15.7,.473,.477,.182,.474,.768
182,Wilson Chandler\chandwi01,2013-14,26,DEN,NBA,62,31.1,.526,55,1927,5.7,13.8,3.5,7.2,2.3,6.6,2.1,2.8,1.1,4.4,5.5,2.1,0.9,0.6,1.5,3.6,15.8,.416,.478,.348,.499,.724
