player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Joe Johnson/2014-15,34.9,54.3563218391,4.2,1.6,4.3,0.172,0.523,0.7,5.0,17.1,1.1,0.4,0.32899999999999996,1.5,-0.7,2.3441379310299997,1.9425287356299998,8
Kawhi Leonard/2014-15,31.8,51.323943662,5.8,1.2,3.4,0.307,0.5670000000000001,1.5,8.2,13.0,3.7,1.8,0.23399999999999999,4.4,3.5,2.34845070423,2.71830985915,1
DeMar DeRozan/2015-16,35.9,60.4752475248,7.3,0.6,1.8,0.474,0.55,0.8,4.5,20.8,1.5,0.6,0.10099999999999999,2.4,-1.2,2.3499009901,1.5940594059399997,8
Paul George/2016-17,35.9,59.9135802469,5.7,2.6,6.6,0.27699999999999997,0.586,0.8,6.6,16.1,2.2,0.9,0.368,3.1,-0.3,2.35197530864,2.55555555556,8
Giannis Antetokounmpo/2015-16,35.3,67.6585365854,6.2,0.4,1.4,0.40399999999999997,0.5660000000000001,1.4,7.8,20.0,1.7,3.4,0.10800000000000001,2.9,1.5,2.35402439024,4.951219512200001,4
Kemba Walker/2014-15,34.2,90.619047619,5.0,1.4,4.8,0.28800000000000003,0.486,0.6,3.7,27.1,2.2,1.2,0.285,2.6,0.1,2.35555555556,2.5873015873,2
Gordon Hayward/2015-16,36.2,62.697674418599995,4.7,1.8,5.1,0.397,0.5589999999999999,0.8,4.9,18.2,1.7,0.8,0.341,3.4,-0.1,2.3590697674400003,1.3488372093,8
Damian Lillard/2016-17,35.9,81.6875,6.0,2.9,7.7,0.366,0.586,0.6,4.9,28.7,1.3,0.6,0.38799999999999996,1.5,-2.0,2.365,1.425,2
Klay Thompson/2016-17,34.0,45.7395833333,5.1,3.6,8.8,0.158,0.5920000000000001,0.7,3.9,9.3,1.2,1.2,0.47,2.9,-2.1,2.36822916667,2.66666666667,1
DeMar DeRozan/2014-15,35.0,57.1538461538,6.6,0.4,1.5,0.43799999999999994,0.51,0.7,4.7,17.0,1.8,0.4,0.08900000000000001,1.4,-1.4,2.37092307692,1.93846153846,8
